movie,tokenCount,characterCount,sectionCount,afraid,amused,angry,annoyed,dont_care,happy,inspired,sad,totalProbSum
kundun,12232,70,1280,0.122240112527664,0.128351658639455,0.118983118135945,0.121499970656709,0.126277624953728,0.113598908565166,0.13719723029399,0.131851376227342,108.099858698125
l.a.confidential,13063,63,1701,0.11238530316324,0.134042434793305,0.116701425909426,0.124053471515248,0.131877310895243,0.117191127073004,0.141111297446685,0.12263762920385,127.380970557038
laboroflove,13853,67,1308,0.120578067493189,0.130761244838196,0.116590397419268,0.121728060986913,0.12870142595376,0.114700695641082,0.13769136205458,0.129248745613014,128.674896373547
ladykillersthe,11815,36,1388,0.116670921009382,0.131675285257435,0.118383553253818,0.123337094531865,0.128705500993463,0.116895835491924,0.138035306566662,0.126296502895452,91.8418203659259
larrycrowne,9924,81,1470,0.117587902722766,0.131143759472635,0.118398682853914,0.124944107019546,0.130337581529829,0.11606931913407,0.136557729145385,0.124960918121855,107.6085590083
lastflightthe,10768,21,1490,0.1173749413231,0.127574981132957,0.125246567919908,0.129412792342557,0.12622911415942,0.11832166301252,0.132867291575801,0.122972648533737,123.497314927975
lastofthemohicansthe,12689,39,976,0.124444140494706,0.128893171421819,0.117857515753438,0.120435490788686,0.126635650463519,0.114358752751737,0.136330995491901,0.131044282834195,94.2768433306126
lasttangoinparis,7982,33,1334,0.111750775041193,0.134445932575051,0.113118651783714,0.123585222916021,0.132516151135154,0.116986631139934,0.145058689778012,0.122537945630922,86.8236123975021
leavinglasvegas,9420,48,1138,0.113843734226381,0.134160767249819,0.114501615069909,0.12394308263904,0.13221463548665,0.116860217217594,0.141147585216303,0.123328362894304,107.879948019
leviathan,10526,160,1066,0.119634777022879,0.132603076720886,0.115024528159929,0.122526137914207,0.130312308949844,0.116893901757428,0.138022807473513,0.124982462001315,88.5290843134663
life,13531,56,1575,0.116466989431136,0.132731161294351,0.117319663558459,0.124111173186106,0.131164456864492,0.117056999445364,0.137463470935823,0.12368608528427,162.466382374364
lifeasahouse,13274,28,1971,0.116783664821733,0.130473663274774,0.118764164779837,0.124563479048867,0.130695378509311,0.115385733026028,0.136529704293329,0.12680421224612,126.562807951925
lifeofdavidgalethe,11578,51,1485,0.119573090488676,0.13064251709163,0.120024702573896,0.124216506300542,0.129107169671189,0.115603941102357,0.134000000966311,0.126832071805399,115.257554638407
limeythe,9926,26,1232,0.117922945885738,0.131455957782082,0.117699143184678,0.124804517043436,0.130060284642904,0.11499039747145,0.137616209983736,0.125450544005976,113.142101464648
