id|movie|tokenCount|characterCount|sectionCount|anger|anticipation|disgust|fear|joy|sadness|surprise|trust|angerPercentile|anticipationPercentile|disgustPercentile|fearPercentile|joyPercentile|sadnessPercentile|surprisePercentile|trustPercentile
24|amour|7486|16|820|0.0203045685279188|0.0472882714400214|0.019369489714133|0.0267165375367352|0.0324605931071333|0.0344643334223885|0.0309911835426129|0.0438151215602458|0.0120192307692308|0.747596153846154|0.353365384615385|0.0240384615384615|0.516826923076923|0.53125|0.461538461538462|0.295673076923077
25|anastasia|11665|50|1147|0.0385769395627947|0.0482640377196742|0.0205743677668238|0.0429489927132448|0.0458636948135448|0.033690527218174|0.0379768538362623|0.045777968281183|0.586538461538462|0.786057692307692|0.444711538461538|0.442307692307692|0.894230769230769|0.475961538461538|0.879807692307692|0.379807692307692
26|annakarenina|15639|76|1822|0.0263443954217022|0.0532003325020781|0.0189270413709316|0.0361915723511733|0.046997889890658|0.0359358015218364|0.0351045463264915|0.0542234158194258|0.127403846153846|0.930288461538461|0.319711538461538|0.233173076923077|0.923076923076923|0.625|0.752403846153846|0.740384615384615
27|anniversarypartythe|9308|34|1399|0.0264288783841857|0.0558659217877095|0.0207348517404383|0.0318006016330039|0.0571551353674259|0.0281478298238075|0.045981951009884|0.0529651912333477|0.134615384615385|0.951923076923077|0.454326923076923|0.108173076923077|0.985576923076923|0.158653846153846|0.985576923076923|0.694711538461538
28|antitrust|14715|58|1644|0.0223581379544682|0.036765205572545|0.0127081209650017|0.0406388039415562|0.0245327896704044|0.0238532110091743|0.0233775059463133|0.0413863404689093|0.0456730769230769|0.15625|0.0216346153846154|0.379807692307692|0.189903846153846|0.0264423076923077|0.0336538461538462|0.211538461538462
29|apartmentthe|16399|38|1734|0.0203061162265992|0.0398804805171047|0.0132934935057016|0.0253064211232392|0.0257942557473017|0.0264040490273797|0.023172144642966|0.0403683151411671|0.0144230769230769|0.326923076923077|0.03125|0.0168269230769231|0.235576923076923|0.0769230769230769|0.0288461538461538|0.163461538461538
30|apocalypsenow|16281|43|1457|0.0577360113015171|0.0390025182728334|0.0256126773539709|0.0733370186106505|0.0320619126589276|0.0446532768257478|0.0419507401265279|0.0534365210982126|0.961538461538461|0.283653846153846|0.692307692307692|0.966346153846154|0.497596153846154|0.901442307692308|0.956730769230769|0.709134615384615
31|aptpupil|16342|27|1506|0.0304736262391384|0.0401419654877004|0.0234977358952393|0.0414881899400318|0.02594541671766|0.0301676661363358|0.0276587932933545|0.0464447436054339|0.302884615384615|0.341346153846154|0.617788461538462|0.40625|0.240384615384615|0.233173076923077|0.194711538461538|0.396634615384615
32|arcade|12584|29|970|0.0356007628734902|0.0429116338207247|0.0212174189446917|0.047361729179911|0.0235219326128417|0.0332167832167832|0.0304354736172918|0.0412428480610299|0.483173076923077|0.524038461538462|0.475961538461538|0.548076923076923|0.15625|0.4375|0.408653846153846|0.199519230769231
33|arcticblue|15320|21|1310|0.0492167101827676|0.0460835509138381|0.0263054830287206|0.0517624020887729|0.022845953002611|0.0381853785900783|0.0316579634464752|0.0409268929503916|0.879807692307692|0.677884615384615|0.730769230769231|0.675480769230769|0.141826923076923|0.725961538461538|0.504807692307692|0.182692307692308
34|armyofdarkness|8357|39|549|0.0830441546009334|0.0372143113557497|0.04307765944717|0.0845997367476367|0.0198635874117506|0.0550436759602728|0.0409237764748115|0.042718678951777|0.997596153846154|0.189903846153846|0.985576923076923|0.995192307692308|0.0649038461538462|0.983173076923077|0.944711538461539|0.259615384615385
35|arthur|12363|51|1581|0.0338914502952358|0.0490172288279544|0.0256410256410256|0.0378548895899054|0.0479657041171237|0.0345385424249778|0.0304133300978727|0.0550837175442854|0.420673076923077|0.807692307692308|0.694711538461538|0.293269230769231|0.927884615384615|0.538461538461538|0.403846153846154|0.771634615384615
36|asgoodasitgets|11847|43|1312|0.0298809825272221|0.0467628935595509|0.0203427027939563|0.037731071157255|0.0538532961931291|0.0369713851608002|0.0346079176162742|0.0614501561576771|0.257211538461538|0.71875|0.427884615384615|0.283653846153846|0.975961538461539|0.680288461538462|0.728365384615385|0.872596153846154
