movie,entropy,pctRecordsDropped,pctTokensDropped,dialogueIndentCount,characterIndentCount,descriptionIndentCount,settingIndentCount,characterDirectionIndentCount,mixedCharacterWithDialogueIndentCount,mixedDescriptionWithDialogueIndentCount
blacksnakemoan,1.4146783643639,0.0889877641824249,0.0391607789074617,1,1,1,1,1,0,0
pulpfiction,1.41567692389641,0.0410736804179427,0.023736744782822,1,1,1,1,3,0,0
chinatown,1.41642620842472,0.0666538239260258,0.0317565332451207,1,1,1,1,1,0,0
believerthe,1.41659197904847,0.0461395780199397,0.0278832185200806,1,1,1,1,2,0,0
killingzoe,1.4177619226748,0.0634078212290503,0.0340178622219694,1,1,1,1,2,0,0
austinpowersinternationalmanofmystery,1.41870147333451,0.057085628442664,0.0239348710990502,1,1,1,1,1,0,0
majesticthethebijou,1.42169059266039,0.0674508362433376,0.029869205111869,1,1,1,1,2,0,0
soimarriedanaxemurderer,1.42216029528722,0.0675381263616558,0.0324540367705835,1,1,1,1,1,0,0
stateandmain,1.42415297956964,0.0496595915098118,0.028073898991848,1,1,1,3,2,0,0
sugarandspice,1.42566677862333,0.063943161634103,0.0326138802766516,1,1,1,2,2,0,0
dropdeadgorgeous,1.42644535077201,0.0596895074946467,0.0334602515287874,1,1,1,1,1,0,0
stingthe,1.42784796382099,0.0999129299085764,0.0472740667976424,1,1,1,2,1,0,0
itsawonderfullife,1.43022557914528,0.0643072939145447,0.0281857755785913,1,2,1,1,1,0,0
basicinstinct,1.43548656185452,0.0902184235517569,0.0339225232853514,1,1,1,1,1,0,0
wildatheart,1.43680749401069,0.066131498470948,0.0320079446927161,1,1,1,1,9,0,0
beingthere,1.4370233128747,0.0748182166092614,0.0434856535600425,1,1,1,1,1,0,0
verybadthings,1.4404001151431,0.0554649265905383,0.0275358246698511,1,1,1,1,1,0,0
americanwerewolfinlondon,1.4429080639855,0.0533715178338974,0.0220649193291244,1,1,1,1,2,0,0
austinpowersthespywhoshaggedme,1.44310497203995,0.0585135884636717,0.0249984867744083,1,1,1,1,1,0,0
jaws2,1.45024623188007,0.0564082120789316,0.0265939311285373,2,2,1,1,3,0,0
oneflewoverthecuckoosnest,1.45097491541238,0.0765441455096628,0.0434137291280149,1,1,1,1,1,0,0
kateleopold,1.45208600192472,0.063013698630137,0.032392840563264,1,2,1,1,1,0,0
ferrisbuellersdayoff,1.45705689690288,0.0271243907607544,0.011766852139013,1,1,1,3,2,0,0
bulldurham,1.45799752279411,0.0933049946865037,0.0363250755832318,1,1,1,1,1,0,0
americanpie,1.4627369905544,0.0592985694508537,0.0290085742157416,1,2,1,1,2,0,0
airplane2thesequel,1.46806773216049,0.0656934306569343,0.0371879293192477,1,1,1,1,3,0,0
englishpatientthe,1.47566437098194,0.0580444098169069,0.0295808262462604,1,1,1,5,1,0,0
ghostbusters2,1.47848162154427,0.104408914728682,0.0489725717389337,1,2,1,1,1,0,0
beingjohnmalkovich,1.47904132756272,0.0858667904386168,0.0400644356682602,1,1,1,1,1,0,0
humannature,1.4794079196716,0.103842412451362,0.0433821206696852,1,1,1,1,1,0,0
shampoo,1.48895106841596,0.0646296296296296,0.0360985928446611,1,1,1,1,1,0,0
tremors,1.49656965733392,0.0753642987249545,0.0251132153149444,1,1,1,1,2,0,0
avengersthe,1.50255672910814,0.0374819798173955,0.0150099911705934,1,1,1,2,1,0,0
istillknowwhatyoudidlastsummer,1.50878512994459,0.0780650115177886,0.0291332098002882,1,1,1,4,1,0,0
pitchblack,1.51558389090155,0.0275548421615837,0.0106742760515747,3,1,1,1,2,0,0
bringingoutthedead,1.5184011476255,0.0696920583468395,0.0359202786819713,1,1,1,2,1,0,0
bluevelvet,1.52122640705839,0.0809399477806789,0.0371072910491998,1,2,1,3,18,0,0
truelies,1.52174979518178,0.0369540873460246,0.015121805310911,1,2,1,5,2,0,0
logansrun,1.52577340109736,0.0730635838150289,0.0327214338410797,1,2,1,5,5,0,0
