id|movie|tokenCount|characterCount|sectionCount|genreList|Action|Adventure|Animation|Biography|Comedy|Crime|Drama|Family|Fantasy|Film-Noir|History|Horror|Music|Musical|Mystery|Romance|Sci-Fi|Short|Sport|Thriller|War|Western|PC1|PC2|PC3|PC4|PC5|PC6|PC7|PC8|genreCount
52|beavisandbuttheaddoamerica|10087|66|1293|Animation, Comedy|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-0.0163336418346963|0.0266331709986726|0.0066946886609965|0.0201730623562766|-0.0512915577505286|-0.0645741200263248|0.00989743138922214|-0.0279488896783813|2
53|beingjohnmalkovich|11388|50|1398|Comedy, Fantasy|0|0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|-0.0393262684954126|-0.0125916974084674|0.0506417417187041|0.0411585750474305|-0.0460581495421875|0.0127660397433319|-0.00720909916774476|0.0171342392602828|2
54|beingthere|14340|66|1565|Comedy, Drama|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-0.0614520621083809|-0.0643968782147276|-0.0154847101197446|-0.109501209335406|0.0526518211124155|-0.120678351705343|-0.275388305055129|-0.248954244777526|2
55|believerthe|12360|71|1453|Drama|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.0102779532971456|0.0303588337556682|0.0270464242928658|0.012468203917138|-0.00666625669750308|0.0147220758205746|0.031554879772609|0.0618847647653819|1
56|bigbluethe|14007|35|1475|Drama, Romance|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|-0.0666262141344381|-0.0382421873839698|0.00623812598117972|-0.0576853283718355|0.0178759043661909|-0.0398978125757745|-0.150222995376738|-0.0518078037137973|2
57|bigfish|14554|48|1482|Adventure, Comedy, Drama, Fantasy|0|1|0|0|1|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|-0.0357430754428055|-0.0705017965816546|-0.00783622177465387|-0.0371989834782453|-0.0435132789839127|0.00924537799674431|-0.0370737670960929|-0.0412000196829558|4
58|bigwhitethe|12957|35|1540|Comedy, Crime, Drama|0|0|0|0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-0.0210106300837331|0.0312234275050611|0.00813801132207974|0.012167672704378|0.0202988027435702|0.0338193923954769|0.0330296045175671|-0.0280865369172495|3
59|birdsthe|18225|34|1615|Drama, Horror, Romance, Thriller|0|0|0|0|0|0|1|0|0|0|0|1|0|0|0|1|0|0|0|1|0|0|0.0813768393187505|0.0320387523437107|0.0244503302986257|-0.169150673580863|0.127842824409833|0.0123126119849832|-0.00337386765575551|-0.0346078732625801|4
60|birthdaygirl|9819|22|1165|Comedy, Crime, Drama, Romance|0|0|0|0|1|1|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|-0.0217809227489201|0.0242444002656957|0.1295491097225|0.203848197730972|-0.219148828568628|-0.0874185142881039|-0.0714944914506447|-0.123449083528226|4
61|blackdahliathe|20434|74|2179|Crime, Drama, Mystery, Thriller|0|0|0|0|0|1|1|0|0|0|0|0|0|0|1|0|0|0|0|1|0|0|0.0104780850857515|0.0305793214721706|-0.0142040369784512|0.0700854496039941|0.0341806017860531|-0.0111891183927709|-2.18498565878293e-06|0.0252856423191981|4
