movie|character|tokenCount|characterCount|sectionCount|anger|anticipation|disgust|fear|joy|sadness|surprise|trust
gandhi|English Journalist|2|1|1|0|0|0|0.5|0|0|0|0
gandhi|Godse|2|1|1|1|1|1|1|0|1|1|0
gandhi|Harilal|2|1|1|0|0.5|0|0|0.5|0|0|0
gandhi|Kripalani|2|1|2|0|0|0|0.5|0|0|0|0
gandhi|Second Englishman's Voice-Over|2|1|1|0.5|0.5|0.5|1|0.5|0|0|0.5
gandhi|Second Marcher|2|1|1|0|0|0|0.5|0|0.5|0.5|0
gandhi|Student Leader|2|1|1|0|0|0|0|0|0|0|0
gandhi|Subaltern|2|1|1|0|0|0|0|1|0|0|0
gandhi|Abha|1|1|1|0|0|0|0|0|0|0|0
gandhi|American Reporter|1|1|1|0|0|0|0|0|0|0|0
gandhi|British Subaltern|1|1|1|0|1|0|1|1|0|0|1
gandhi|Captain|1|1|1|0|0|0|0|0|0|0|0
gandhi|Jinnah's Voice|1|1|1|0|0|0|0|0|0|0|0
gandhi|Police Commanding Officer|1|1|1|0|1|1|0|1|0|1|1
gandhi|Second Voice|1|1|1|0|0|0|0|0|0|0|1
gandhi|Sergeant Major|1|1|1|0|0|0|0|0|0|0|0
gandhi|Tail-Ender|1|1|1|1|0|1|1|0|0|1|0
gandhi|The Aide|1|1|1|0|0|0|0|0|0|0|0
gandhi|Tyeb Mohammed's Friend|1|1|1|0|0|0|1|0|1|0|0
gandhi|Youth|1|1|1|1|0|1|1|0|1|0|0
gangrelated|Divinci|820|1|231|0.128048780487805|0.132926829268293|0.0890243902439024|0.167073170731707|0.074390243902439|0.124390243902439|0.0817073170731707|0.107317073170732
gangrelated|Rodriguez|307|1|114|0.162866449511401|0.107491856677524|0.11400651465798|0.218241042345277|0.0618892508143323|0.159609120521173|0.0553745928338762|0.185667752442997
gangrelated|Helen|193|1|38|0.207253886010363|0.0569948186528497|0.0569948186528497|0.233160621761658|0.0466321243523316|0.155440414507772|0.0259067357512953|0.170984455958549
gangrelated|Arthur|164|1|37|0.115853658536585|0.0609756097560976|0.024390243902439|0.158536585365854|0.00609756097560976|0.0914634146341463|0.0548780487804878|0.134146341463415
gangrelated|Elliot|142|1|45|0.169014084507042|0.119718309859155|0.028169014084507|0.204225352112676|0.0492957746478873|0.105633802816901|0.0633802816901408|0.161971830985916
gangrelated|Cynthia|130|1|65|0.153846153846154|0.123076923076923|0.115384615384615|0.107692307692308|0.0692307692307692|0.0769230769230769|0.0923076923076923|0.138461538461538
