movie,leftSpaceCount,pctTokens,pctRecords,pctTokensI,pctTokensQuestionMark,pctTokensQuestionWord,pctTokensYou,pctTokensWe,pctTokensCapitalized,pctTokensCharacterMention,pctTokensCharacterMentionCapitalized,pctLinesCharacterMention,pctLinesCharacterMentionCapitalized,pctLinesOnlyCapitalizedCharacterMention,pctLinesCharacterDirection,pctLinesCapitalized,pctLinesSetting,dialogueIndentInd,characterIndentInd,descriptionIndentInd,settingIndentInd,characterDirectionIndentInd,mixedCharacterWithDialogueIndentInd,mixedDescriptionWithDialogueIndentInd,dialogueIndentCount,characterIndentCount,descriptionIndentCount,settingIndentCount,characterDirectionIndentCount,mixedCharacterWithDialogueIndentCount,mixedDescriptionWithDialogueIndentCount,entropy,pctRecordsDropped,pctTokensDropped
shawshankredemptionthe,23,0.000110436223081171,0.000211461196870374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,5,0,0,1.5551631563648,0.0224148868682597,0.00986563592858458
shawshankredemptionthe,24,0.000147248297441561,0.000211461196870374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,5,0,0,1.5551631563648,0.0224148868682597,0.00986563592858458
shawshankredemptionthe,27,7.36241487207804e-05,0.000211461196870374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,5,0,0,1.5551631563648,0.0224148868682597,0.00986563592858458
shawshankredemptionthe,33,3.68120743603902e-05,0.000211461196870374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,5,0,0,1.5551631563648,0.0224148868682597,0.00986563592858458
shivers,15,0.723273342562683,0.549982940975776,0.000212675457252233,0.000141783638168155,0.00432440096412874,7.08918190840777e-05,0.00170140365801786,0.025521054870268,0.0414717141641855,0.00233943002977456,0.362903225806452,0.0204714640198511,0,0.00124069478908189,0.0527295285359802,0.0527295285359802,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1.06165553826357,0.0607301262367793,0.0209198584833103
shivers,25,0.23611752038148,0.291709314227226,0.039956568946797,0.0386536373507058,0.00998914223669924,0.0479913137893594,0.00933767643865364,0.00716612377850163,0.0130293159609121,0,0.0701754385964912,0,0,0,0.00116959064327485,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1.06165553826357,0.0607301262367793,0.0209198584833103
shivers,30,0.0205096651797159,0.0590242238143978,0,0,0.0025,0,0,0,0.0275,0,0.0635838150289017,0,0,0.84393063583815,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,1.06165553826357,0.0607301262367793,0.0209198584833103
shivers,37,0.0196892785725273,0.0975776185602184,0,0,0,0,0,0.994791666666667,0.5546875,0.5546875,0.744755244755245,0.744755244755245,0.517482517482518,0,0.996503496503496,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1.06165553826357,0.0607301262367793,0.0209198584833103
shivers,38,0.000205096651797159,0.000682360968952576,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1.06165553826357,0.0607301262367793,0.0209198584833103
shivers,40,5.12741629492899e-05,0.000341180484476288,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1.06165553826357,0.0607301262367793,0.0209198584833103
